Incoming message from Client is : 55.0	0.0	0.0
Outgoing message to Client is : -47.40480891253999	-0.7120151015898369	7.599999999999989	

Incoming message from Client is : -47.40480891253999	-0.7120151015898369	7.599999999999989	
Outgoing message to Client is : -43.323193680496345	-0.8464385626002654	7.699999999999989	

Incoming message from Client is : -43.323193680496345	-0.8464385626002654	7.699999999999989	
Outgoing message to Client is : -38.470998098711384	-0.9683215308327644	7.799999999999988	

Incoming message from Client is : -38.470998098711384	-0.9683215308327644	7.799999999999988	
Outgoing message to Client is : -32.92011034234522	-1.0747935493788805	7.899999999999988	

Incoming message from Client is : -32.92011034234522	-1.0747935493788805	7.899999999999988	
Outgoing message to Client is : -26.758873435077753	-1.1629985101433518	7.999999999999988	

Incoming message from Client is : -26.758873435077753	-1.1629985101433518	7.999999999999988	
Outgoing message to Client is : -20.092002994765544	-1.2302973947332805	8.099999999999987	

Incoming message from Client is : -20.092002994765544	-1.2302973947332805	8.099999999999987	
Outgoing message to Client is : -13.039342770179857	-1.27449689674463	8.199999999999987	

Incoming message from Client is : -13.039342770179857	-1.27449689674463	8.199999999999987	
Outgoing message to Client is : -5.733309604127839	-1.294067054875195	8.299999999999986	

Incoming message from Client is : -5.733309604127839	-1.294067054875195	8.299999999999986	
Outgoing message to Client is : 1.6849091817809234	-1.288306992614385	8.399999999999986	

Incoming message from Client is : 1.6849091817809234	-1.288306992614385	8.399999999999986	
Outgoing message to Client is : 9.070108502500327	-1.2574245158538149	8.499999999999986	

Incoming message from Client is : 9.070108502500327	-1.2574245158538149	8.499999999999986	
Outgoing message to Client is : 16.278274516948947	-1.202512276148445	8.599999999999985	

Incoming message from Client is : 16.278274516948947	-1.202512276148445	8.599999999999985	
Outgoing message to Client is : 23.171656991685257	-1.1254257326926835	8.699999999999985	

Incoming message from Client is : 23.171656991685257	-1.1254257326926835	8.699999999999985	
Outgoing message to Client is : 29.623142083554143	-1.0285889624992686	8.799999999999985	

Incoming message from Client is : 29.623142083554143	-1.0285889624992686	8.799999999999985	
Outgoing message to Client is : 35.51951193227606	-0.9147669917005699	8.899999999999984	

Incoming message from Client is : 35.51951193227606	-0.9147669917005699	8.899999999999984	
Outgoing message to Client is : 40.76339914584621	-0.7868449115929401	8.999999999999984	

Incoming message from Client is : 40.76339914584621	-0.7868449115929401	8.999999999999984	
Outgoing message to Client is : 45.27397507217516	-0.6476461140441729	9.099999999999984	

Incoming message from Client is : 45.27397507217516	-0.6476461140441729	9.099999999999984	
Outgoing message to Client is : 48.98659610809717	-0.4998088859188119	9.199999999999983	

Incoming message from Client is : 48.98659610809717	-0.4998088859188119	9.199999999999983	
Outgoing message to Client is : 51.851742587886534	-0.34572709849062166	9.299999999999983	

Incoming message from Client is : 51.851742587886534	-0.34572709849062166	9.299999999999983	
Outgoing message to Client is : 53.83361767477545	-0.18755009675359868	9.399999999999983	

Incoming message from Client is : 53.83361767477545	-0.18755009675359868	9.399999999999983	
Outgoing message to Client is : 54.90874561794894	-0.027230312672496954	9.499999999999982	

